Date,Hour,PJM-E,PJM-W,NI,DAY,AEP,DUQ,DOM
12/31/10,100,29634,5278,10113,1553,14695,1495,11477
12/31/10,200,28614,5131,9446,1483,14290,1439,11235
12/31/10,300,28146,5056,9031,1439,13992,1401,11216
12/31/10,400,28051,5050,8763,1418,13896,1390,11276
12/31/10,500,28518,5097,8634,1432,14054,1384,11563
12/31/10,600,29711,5267,8713,1467,14374,1413,12075
12/31/10,700,31234,5465,9046,1530,14932,1493,12643
12/31/10,800,32210,5653,9548,1616,15476,1546,12948
12/31/10,900,33065,5769,9921,1639,15742,1574,13063
12/31/10,1000,33415,5843,10004,1707,15770,1616,12707
12/31/10,1100,33209,5813,10182,1735,15759,1640,12179
12/31/10,1200,32631,5676,10236,1720,15382,1643,11493
12/31/10,1300,31881,5519,10283,1699,14972,1630,10924
12/31/10,1400,31271,5323,10371,1648,14483,1598,10519
12/31/10,1500,30905,5173,10564,1618,14263,1574,10226
12/31/10,1600,31155,5120,10587,1605,14098,1562,10157
12/31/10,1700,32764,5267,10514,1635,14248,1591,10592
12/31/10,1800,36134,5767,10990,1760,15266,1721,11859
12/31/10,1900,36095,5810,11735,1782,15444,1754,12069
12/31/10,2000,35035,5655,11585,1697,15127,1696,11820
12/31/10,2100,33852,5488,11243,1623,14807,1643,11532
12/31/10,2200,32550,5305,10825,1563,14450,1583,11180
12/31/10,2300,31162,5113,10511,1501,14089,1524,10809
12/31/10,2400,29871,4910,10042,1436,13694,1454,10480
12/30/10,100,31500,5661,10891,1704,16188,1544,12153
12/30/10,200,30543,5518,10220,1655,15780,1497,12106
12/30/10,300,30288,5527,9834,1633,15642,1451,12166
12/30/10,400,30476,5554,9567,1624,15565,1450,12424
12/30/10,500,31297,5669,9509,1647,15762,1471,12865
12/30/10,600,33111,5930,9667,1723,16312,1526,13574
12/30/10,700,35804,6280,10181,1846,16994,1616,14432
12/30/10,800,37419,6501,10953,1963,17731,1691,14867
12/30/10,900,37927,6581,11457,2012,17912,1735,14721
12/30/10,1000,37723,6611,11725,2036,17958,1782,14138
12/30/10,1100,36978,6584,11955,2075,17896,1814,13359
12/30/10,1200,35987,6438,12138,2053,17481,1794,12886
12/30/10,1300,35149,6220,12141,2031,16992,1773,12482
12/30/10,1400,34480,6039,12050,1993,16497,1761,12244
12/30/10,1500,33876,5874,12006,1935,16241,1744,11948
12/30/10,1600,33802,5830,11917,1882,15860,1741,11835
12/30/10,1700,35168,5964,11982,1875,16037,1754,12224
12/30/10,1800,38417,6394,12635,1984,16898,1880,13260
12/30/10,1900,38522,6457,13069,2054,17531,1891,13465
12/30/10,2000,37980,6429,12816,2010,17512,1864,13288
12/30/10,2100,37169,6365,12547,1967,17359,1822,13186
12/30/10,2200,35838,6181,12202,1901,17008,1773,12927
12/30/10,2300,33836,5885,11709,1796,16318,1683,12386
12/30/10,2400,31517,5564,10929,1667,15474,1587,11871
