DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE
12/31/11,100,26186,4648,9970,1560,13096,1423,8547,6222
12/31/11,200,24851,4464,9428,1505,12608,1367,8197,5973
12/31/11,300,24085,4376,9059,1460,12451,1344,7932,5778
12/31/11,400,23646,4337,8817,1462,12338,1320,7857,5707
12/31/11,500,23676,4354,8743,1456,12432,1320,7925,5691
12/31/11,600,24278,4433,8735,1497,12673,1342,8143,5803
12/31/11,700,25284,4554,8993,1555,13054,1376,8530,5995
12/31/11,800,26358,4778,9363,1641,13527,1415,8911,6307
12/31/11,900,27480,4930,9545,1696,13895,1439,9258,6548
12/31/11,1000,28359,5130,9676,1760,14146,1525,9491,6786
12/31/11,1100,28653,5251,9937,1839,14649,1590,9464,7075
12/31/11,1200,28621,5282,10139,1865,14821,1613,9372,7155
12/31/11,1300,28418,5307,10326,1855,14787,1632,9266,7175
12/31/11,1400,28118,5259,10359,1848,14695,1636,9076,7142
12/31/11,1500,27919,5210,10293,1833,14443,1625,8979,7164
12/31/11,1600,28218,5226,10240,1822,14388,1629,9014,7125
12/31/11,1700,29769,5397,10416,1853,14682,1675,9378,7271
12/31/11,1800,32759,5750,11225,1956,15558,1766,10358,7774
12/31/11,1900,32810,5729,11907,1969,15745,1765,10546,7785
12/31/11,2000,31848,5527,11812,1895,15559,1737,10281,7550
12/31/11,2100,30628,5314,11542,1828,15321,1680,10050,7309
12/31/11,2200,29414,5129,11149,1767,14867,1644,9733,7085
12/31/11,2300,28107,4910,10855,1707,14602,1569,9487,6832
12/31/11,2400,26949,4723,10335,1655,14181,1518,9225,6550
12/30/11,100,28699,5233,10126,1632,14779,1515,10121,6601
12/30/11,200,27579,5076,9535,1573,14341,1453,9944,6361
12/30/11,300,27088,5023,9182,1536,14221,1431,9912,6224
12/30/11,400,27065,5045,8945,1522,14090,1417,9995,6162
12/30/11,500,27712,5135,8874,1535,14296,1430,10347,6207
12/30/11,600,29383,5357,9070,1591,14716,1492,10967,6437
12/30/11,700,31732,5684,9583,1724,15374,1571,11811,6861
12/30/11,800,33114,5923,10329,1834,16161,1649,12231,7248
12/30/11,900,33753,5960,10804,1892,16395,1677,12190,7408
12/30/11,1000,33811,6017,11100,1914,16388,1716,11844,7588
12/30/11,1100,33365,5953,11396,1945,16106,1729,11463,7733
12/30/11,1200,32645,5800,11586,1938,15525,1730,10942,7776
12/30/11,1300,31686,5616,11598,1927,15295,1718,10297,7674
12/30/11,1400,31020,5456,11511,1917,15119,1691,9914,7598
12/30/11,1500,30564,5286,11429,1908,14843,1662,9623,7515
12/30/11,1600,30545,5229,11317,1866,14758,1631,9479,7437
12/30/11,1700,31941,5390,11384,1866,14889,1665,9882,7538
12/30/11,1800,35130,5874,11996,1978,15682,1792,11010,8047
12/30/11,1900,35105,5960,12440,1992,15828,1802,11125,8032
12/30/11,2000,34380,5891,12248,1949,15606,1754,10999,7950
12/30/11,2100,33527,5799,12023,1908,15432,1712,10748,7762
12/30/11,2200,32268,5633,11717,1839,15175,1671,10331,7502
12/30/11,2300,30395,5316,11318,1757,14471,1591,9795,7093
12/30/11,2400,28186,4938,10728,1646,13747,1503,9162,6624
12/29/11,100,29819,5664,10743,1776,15883,1595,10427,7253
12/29/11,200,28897,5515,10083,1717,15554,1549,10289,7054
12/29/11,300,28510,5480,9701,1692,15462,1532,10367,6918
12/29/11,400,28589,5491,9448,1682,15455,1530,10644,6871
12/29/11,500,29377,5600,9353,1705,15647,1530,11147,6993
12/29/11,600,31201,5889,9531,1785,16200,1598,11936,7304
12/29/11,700,33883,6227,10111,1924,17067,1695,13012,7785
12/29/11,800,35516,6521,10975,2050,17768,1765,13453,8292
12/29/11,900,36058,6587,11415,2086,17894,1803,13355,8342
12/29/11,1000,36182,6688,11541,2110,17968,1839,12802,8469
12/29/11,1100,36018,6669,11634,2137,17820,1866,12308,8538
12/29/11,1200,35519,6530,11659,2106,17496,1861,11937,8539
12/29/11,1300,35017,6401,11564,2085,17063,1849,11578,8468
12/29/11,1400,34729,6267,11432,2047,16654,1836,11330,8311
12/29/11,1500,34430,6148,11343,2006,16200,1836,11061,8250
12/29/11,1600,34515,6092,11216,1941,15947,1830,10955,8105
12/29/11,1700,36182,6245,11140,1928,16076,1880,11456,8183
12/29/11,1800,38958,6639,11904,2055,17059,1971,12536,8706
12/29/11,1900,38821,6682,12754,2132,17514,1971,12614,8816
12/29/11,2000,38088,6599,12593,2096,17419,1909,12455,8694
12/29/11,2100,37201,6495,12406,2040,17272,1855,12190,8482
12/29/11,2200,35600,6240,12140,1979,16933,1821,11846,8163
12/29/11,2300,33277,5891,11661,1856,16181,1716,11172,7674
12/29/11,2400,30689,5522,10980,1739,15456,1613,10576,7100
12/28/11,100,26185,5092,10615,1771,14991,1504,8972,6942
12/28/11,200,25226,4931,10017,1719,14687,1453,8754,6735
12/28/11,300,24725,4850,9736,1694,14450,1427,8767,6608
12/28/11,400,24822,4850,9552,1688,14459,1404,8861,6608
12/28/11,500,25471,4937,9557,1730,14795,1445,9260,6747
12/28/11,600,27147,5167,9797,1820,15413,1507,9915,7111
12/28/11,700,29680,5512,10448,1963,16277,1620,10781,7658
12/28/11,800,31436,5855,11364,2088,17026,1715,11284,8192
12/28/11,900,32122,6017,11861,2118,17293,1772,11352,8388
12/28/11,1000,32729,6174,12095,2140,17425,1818,11131,8576
12/28/11,1100,33276,6276,12287,2167,17522,1855,11033,8668
12/28/11,1200,33425,6297,12392,2146,17291,1862,10866,8672
12/28/11,1300,33340,6246,12385,2108,16952,1842,10585,8608
12/28/11,1400,33249,6174,12344,2072,16577,1830,10381,8529
12/28/11,1500,33249,6057,12268,2052,16275,1811,10236,8378
12/28/11,1600,33601,6064,12222,2051,16204,1793,10254,8311
12/28/11,1700,35385,6259,12249,2058,16513,1812,10843,8384
12/28/11,1800,38785,6830,12971,2203,17614,1972,12238,9091
12/28/11,1900,38916,6959,13628,2276,18250,1995,12470,9261
12/28/11,2000,38294,6903,13447,2255,18232,1970,12456,9158
12/28/11,2100,37627,6824,13216,2210,18197,1932,12344,9009
12/28/11,2200,36185,6614,12936,2130,18044,1897,11931,8690
12/28/11,2300,34069,6288,12432,2012,17272,1797,11411,8232
12/28/11,2400,31647,5928,11590,1875,16496,1694,10817,7679
12/27/11,100,27653,4921,9950,1621,13822,1428,9749,6482
12/27/11,200,26611,4776,9391,1562,13551,1375,9465,6296
12/27/11,300,26042,4681,9030,1544,13360,1350,9317,6224
12/27/11,400,26017,4692,8868,1542,13340,1346,9328,6161
12/27/11,500,26602,4788,8832,1573,13657,1358,9524,6227
12/27/11,600,28153,5023,9077,1662,14396,1430,10080,6587
12/27/11,700,30504,5359,9737,1807,15270,1524,10816,7078
12/27/11,800,32219,5707,10649,1957,16184,1598,11324,7596
12/27/11,900,33180,5853,11243,2010,16777,1656,11496,7859
12/27/11,1000,34067,6059,11551,2059,17060,1731,11752,8046
12/27/11,1100,34538,6205,11809,2097,17373,1801,11847,8282
12/27/11,1200,34760,6285,11973,2115,17330,1815,11852,8357
12/27/11,1300,34709,6281,12054,2121,17272,1811,11722,8370
12/27/11,1400,34649,6250,12040,2110,17048,1824,11493,8410
12/27/11,1500,34522,6128,12062,2107,16721,1809,11317,8337
12/27/11,1600,34606,6068,12062,2096,16613,1789,11068,8334
12/27/11,1700,35780,6160,12133,2136,16889,1819,11031,8467
12/27/11,1800,37168,6460,12849,2259,17698,1908,11707,8903
12/27/11,1900,36535,6495,13311,2277,17930,1909,11758,8998
12/27/11,2000,35483,6420,13093,2234,17808,1877,11499,8843
12/27/11,2100,34365,6308,12874,2172,17558,1856,11193,8710
12/27/11,2200,32652,6100,12629,2098,17178,1801,10685,8379
12/27/11,2300,30351,5762,12122,1981,16364,1702,10098,7896
12/27/11,2400,28037,5375,11386,1858,15613,1586,9401,7348
12/26/11,100,25781,4503,9620,1521,13111,1374,9082,6013
12/26/11,200,24798,4366,9171,1476,12843,1335,8820,5775
12/26/11,300,24219,4301,8892,1446,12674,1313,8747,5679
12/26/11,400,24175,4284,8728,1442,12713,1296,8832,5613
12/26/11,500,24556,4355,8723,1471,12999,1310,9109,5672
12/26/11,600,25481,4518,8875,1530,13425,1345,9551,5835
12/26/11,700,26670,4720,9212,1612,13927,1402,10061,6121
12/26/11,800,27426,4934,9625,1705,14551,1445,10398,6442
12/26/11,900,28239,5107,9707,1752,14865,1465,10542,6584
12/26/11,1000,29129,5299,9786,1796,15058,1513,10456,6818
12/26/11,1100,29737,5401,9954,1813,15013,1551,10396,6894
12/26/11,1200,29885,5392,10040,1799,14704,1576,10189,6944
12/26/11,1300,29562,5293,10062,1767,14361,1565,9896,6806
12/26/11,1400,29084,5107,9983,1719,13949,1529,9576,6665
12/26/11,1500,28712,4955,9887,1686,13698,1512,9325,6584
12/26/11,1600,28782,4923,9898,1698,13706,1524,9341,6565
12/26/11,1700,30515,5119,10172,1757,14143,1544,9784,6815
12/26/11,1800,34255,5757,11219,1928,15433,1696,11181,7636
12/26/11,1900,34769,5969,11963,2008,16043,1747,11657,7876
12/26/11,2000,34712,6007,11908,1999,16025,1755,11767,7901
12/26/11,2100,34436,5980,11820,1972,15925,1736,11751,7848
12/26/11,2200,33385,5829,11667,1917,15768,1697,11430,7666
12/26/11,2300,31547,5543,11280,1814,15167,1620,10860,7331
12/26/11,2400,29364,5194,10655,1711,14417,1514,10230,6905
12/25/11,100,28776,5061,10042,1664,14281,1452,10234,6483
12/25/11,200,27607,4918,9487,1601,13938,1393,10037,6188
12/25/11,300,26898,4843,9073,1567,13808,1357,9987,6013
12/25/11,400,26607,4862,8800,1550,13808,1339,10065,5941
