DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK
12/31/12,100,29893,5751,10445,1824,15935,1556,11570,7017,2945
12/31/12,200,28911,5637,9897,1771,15645,1509,11462,6822,2868
12/31/12,300,28431,5590,9538,1760,15613,1479,11548,6691,2812
12/31/12,400,28447,5633,9333,1734,15618,1468,11811,6622,2812
12/31/12,500,29045,5698,9275,1757,15760,1488,12232,6691,2860
12/31/12,600,30462,5917,9463,1812,16123,1543,12913,6881,2957
12/31/12,700,32498,6190,9830,1912,16798,1638,13549,7215,3072
12/31/12,800,33882,6431,10443,2019,17390,1720,13812,7558,3182
12/31/12,900,34757,6551,10713,2038,17485,1732,13803,7620,3192
12/31/12,1000,35519,6605,10845,2095,17523,1767,13591,7797,3266
12/31/12,1100,35598,6635,11044,2115,17527,1780,13098,7880,3308
12/31/12,1200,34968,6503,11269,2116,17273,1772,12630,7887,3316
12/31/12,1300,34494,6406,11311,2099,16940,1748,12358,7786,3280
12/31/12,1400,34194,6286,11349,2068,16689,1753,12093,7703,3243
12/31/12,1500,33973,6279,11372,2052,16566,1755,12012,7681,3234
12/31/12,1600,34243,6245,11297,2040,16539,1759,12096,7663,3252
12/31/12,1700,35936,6388,11378,2046,16677,1799,12542,7843,3257
12/31/12,1800,38454,6789,12062,2159,17398,1907,13264,8400,3433
12/31/12,1900,37736,6734,12779,2181,17244,1898,12975,8441,3484
12/31/12,2000,36217,6512,12508,2106,16876,1863,12472,8182,3358
12/31/12,2100,34591,6304,12154,2023,16377,1798,11939,7884,3242
12/31/12,2200,32997,6015,11812,1946,15915,1730,11449,7587,3124
12/31/12,2300,31381,5763,11437,1865,15248,1672,10894,7264,2980
12/31/12,2400,29864,5512,11009,1790,14734,1601,10418,6960,2876
12/30/12,100,29148,5418,10857,1834,15315,1555,10328,6850,2952
12/30/12,200,28049,5293,10294,1777,14910,1512,10178,6587,2828
12/30/12,300,27437,5229,10002,1746,14754,1471,10087,6473,2789
12/30/12,400,27231,5185,9823,1734,14763,1469,10138,6408,2761
12/30/12,500,27382,5214,9768,1740,14848,1471,10305,6371,2786
12/30/12,600,28000,5336,9810,1783,15068,1488,10649,6476,2827
12/30/12,700,29024,5507,9986,1835,15380,1513,11101,6668,2895
12/30/12,800,29890,5736,10244,1913,15999,1550,11578,6894,2993
12/30/12,900,30824,5941,10289,1960,16360,1592,11892,7041,3057
12/30/12,1000,31604,6101,10399,2021,16578,1626,11892,7262,3152
12/30/12,1100,31986,6140,10452,2015,16576,1677,11791,7482,3137
12/30/12,1200,32146,6135,10528,1987,16508,1715,11520,7595,3092
12/30/12,1300,32169,6150,10498,1948,16283,1718,11301,7596,3041
12/30/12,1400,31978,6101,10459,1911,16027,1726,11040,7554,2979
12/30/12,1500,31809,6021,10346,1877,15588,1716,10765,7473,2947
12/30/12,1600,32107,6029,10337,1867,15397,1702,10710,7464,2947
12/30/12,1700,33845,6196,10446,1911,15802,1743,11223,7703,3026
12/30/12,1800,37164,6719,11412,2113,17214,1862,12539,8368,3333
12/30/12,1900,37464,6823,12278,2217,17821,1880,12977,8684,3507
12/30/12,2000,37077,6767,12309,2200,17817,1866,13020,8618,3483
12/30/12,2100,36550,6673,12257,2177,17762,1805,13029,8500,3448
12/30/12,2200,35367,6516,12031,2104,17468,1778,12715,8261,3382
12/30/12,2300,33613,6247,11690,2006,16909,1722,12353,7892,3217
12/30/12,2400,31583,5982,11071,1910,16299,1635,11869,7425,3076
12/29/12,100,29527,5541,10594,1785,15123,1501,10441,7015,2877
12/29/12,200,28429,5410,9985,1729,14846,1455,10144,6714,2795
12/29/12,300,27882,5315,9602,1693,14792,1430,9984,6526,2728
12/29/12,400,27543,5324,9378,1680,14698,1431,9931,6512,2681
12/29/12,500,27714,5390,9292,1688,14670,1433,9945,6520,2707
12/29/12,600,28379,5485,9357,1723,14898,1465,10276,6664,2764
12/29/12,700,29457,5635,9608,1789,15225,1513,10750,6888,2829
12/29/12,800,30709,5798,10059,1879,15612,1550,11239,7167,2926
12/29/12,900,31976,5941,10394,1916,15765,1602,11628,7338,2993
12/29/12,1000,33446,6135,10587,1979,15969,1652,12078,7573,3094
12/29/12,1100,34602,6307,10901,2035,16129,1677,12261,7692,3205
12/29/12,1200,35275,6347,11107,2059,16229,1698,12266,7701,3233
12/29/12,1300,35182,6304,11208,2048,16125,1686,11968,7641,3265
12/29/12,1400,34594,6150,11146,2027,16033,1663,11479,7624,3227
12/29/12,1500,34116,6035,11078,2007,16030,1689,10974,7583,3176
12/29/12,1600,33893,6013,11051,1993,16076,1709,10832,7632,3158
12/29/12,1700,34920,6163,11219,2008,16438,1744,11140,7816,3213
12/29/12,1800,37516,6587,11992,2147,17353,1857,12230,8372,3430
12/29/12,1900,37556,6691,12591,2218,17534,1877,12459,8500,3555
12/29/12,2000,36886,6626,12579,2194,17505,1863,12409,8382,3510
12/29/12,2100,36091,6525,12462,2164,17337,1845,12278,8246,3493
12/29/12,2200,34860,6313,12320,2109,17072,1794,11918,8004,3396
12/29/12,2300,33051,6015,12037,2013,16431,1722,11364,7669,3255
12/29/12,2400,30902,5707,11455,1925,15728,1626,10712,7213,3072
12/28/12,100,29573,5577,10617,1837,15489,1537,10715,7179,3008
12/28/12,200,28539,5411,10002,1794,15085,1467,10601,6925,2936
12/28/12,300,27997,5354,9629,1775,14964,1454,10588,6791,2892
12/28/12,400,27905,5336,9443,1781,15010,1437,10745,6779,2843
12/28/12,500,28501,5412,9405,1805,15219,1449,11101,6869,2893
12/28/12,600,30136,5649,9593,1885,15815,1524,11827,7152,3009
12/28/12,700,32605,5972,10160,2013,16634,1628,12651,7653,3194
12/28/12,800,34420,6274,10999,2136,17404,1704,13214,8126,3364
12/28/12,900,35162,6407,11566,2163,17545,1747,13297,8260,3366
12/28/12,1000,35296,6456,11845,2176,17642,1768,12885,8398,3416
