DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK,EKPC
12/31/17,100,35242,6906,12132,2266,17422,1656,13822,7849,3752,2397
12/31/17,200,34410,6858,11711,2230,17219,1619,13911,7649,3660,2390
12/31/17,300,34150,6853,11405,2205,17313,1600,14084,7576,3615,2422
12/31/17,400,34220,6903,11235,2190,17396,1587,14375,7550,3598,2472
12/31/17,500,34627,7014,11145,2185,17512,1597,14695,7546,3612,2542
12/31/17,600,35438,7129,11192,2213,17779,1615,15117,7622,3635,2554
12/31/17,700,36615,7256,11288,2280,18166,1649,15680,7807,3688,2622
12/31/17,800,37612,7492,11507,2341,18646,1683,16145,7984,3772,2697
12/31/17,900,38435,7596,11554,2392,18954,1717,16430,8080,3786,2759
12/31/17,1000,38803,7670,11624,2459,19254,1749,16363,8259,3888,2757
12/31/17,1100,39375,7683,11673,2463,19026,1781,16119,8309,3966,2625
12/31/17,1200,39565,7671,11787,2399,18750,1815,15724,8259,3911,2507
12/31/17,1300,39664,7672,11883,2307,18370,1810,15592,8155,3752,2435
12/31/17,1400,39888,7610,11799,2260,17984,1776,15628,8072,3717,2357
12/31/17,1500,40210,7525,11704,2235,17803,1754,15897,8061,3708,2248
12/31/17,1600,40604,7503,11661,2231,17915,1763,16176,8067,3767,2264
12/31/17,1700,42013,7655,11840,2297,18287,1807,16793,8261,3838,2348
12/31/17,1800,44605,8145,12581,2432,19263,1920,17670,8904,4004,2505
12/31/17,1900,44650,8205,13452,2514,19608,1938,17740,9064,4122,2614
12/31/17,2000,43948,8053,13393,2484,19442,1907,17522,8888,4070,2633
12/31/17,2100,43092,8012,13192,2452,19323,1869,17362,8687,4006,2632
12/31/17,2200,42090,7864,13116,2421,19092,1834,17214,8500,3961,2648
12/31/17,2300,40972,7710,12809,2375,18877,1795,16929,8309,3882,2617
12/31/17,2400,39928,7612,12563,2345,18687,1749,16789,8127,3817,2605
12/30/17,100,35657,6647,11644,2047,16387,1593,13711,7704,3274,1883
12/30/17,200,34540,6551,11233,1985,16128,1552,13518,7480,3191,1854
12/30/17,300,33812,6530,10947,1954,15980,1529,13460,7386,3162,1848
12/30/17,400,33635,6549,10828,1942,15814,1517,13555,7362,3122,1824
12/30/17,500,33975,6623,10782,1953,15695,1516,13774,7359,3132,1845
12/30/17,600,34625,6713,10917,1994,16004,1532,14148,7451,3188,1845
12/30/17,700,35660,6817,11169,2059,16339,1552,14573,7667,3290,1912
12/30/17,800,36743,7011,11621,2153,16786,1603,14947,7902,3407,1945
12/30/17,900,37753,7195,11832,2196,17182,1638,15154,8081,3491,2015
12/30/17,1000,38948,7307,12099,2273,17579,1706,15015,8256,3594,2051
12/30/17,1100,39344,7261,12146,2316,17689,1752,14616,8402,3662,2096
12/30/17,1200,38996,7121,12280,2328,17735,1771,14063,8401,3692,2048
12/30/17,1300,38194,6997,12261,2321,17523,1763,13599,8414,3674,2085
12/30/17,1400,37309,6876,12179,2324,17379,1749,13258,8287,3676,2096
12/30/17,1500,37004,6856,12059,2307,17280,1746,13015,8174,3651,2097
12/30/17,1600,36982,6928,11974,2312,17338,1727,12929,8215,3710,2114
12/30/17,1700,38164,7128,12154,2367,17663,1774,13415,8434,3781,2185
12/30/17,1800,40447,7528,12878,2478,18461,1878,14324,9016,3995,2263
12/30/17,1900,40782,7607,13673,2559,18815,1909,14591,9182,4116,2339
12/30/17,2000,40506,7590,13686,2550,18807,1906,14646,9140,4098,2334
12/30/17,2100,40383,7587,13632,2530,18713,1892,14664,9049,4105,2364
12/30/17,2200,39438,7448,13423,2503,18478,1849,14566,8850,4087,2379
12/30/17,2300,37874,7255,13191,2429,18150,1789,14249,8516,3978,2405
12/30/17,2400,36156,7018,12684,2353,17761,1719,13960,8161,3876,2355
12/29/17,100,37263,7366,12009,2114,17799,1653,15687,7977,3480,2220
12/29/17,200,36393,7136,11531,2081,17511,1606,15493,7784,3427,2189
12/29/17,300,36128,7041,11222,2064,17319,1568,15383,7717,3373,2186
12/29/17,400,36164,7038,11005,2063,17280,1569,15433,7639,3338,2174
12/29/17,500,36408,7103,10961,2071,17404,1588,15678,7726,3359,2190
12/29/17,600,37602,7331,11130,2146,17730,1647,16183,7988,3445,2206
12/29/17,700,39607,7649,11552,2257,18515,1720,16806,8397,3590,2303
12/29/17,800,41148,7953,12196,2359,19167,1805,17124,8793,3732,2286
12/29/17,900,41411,8038,12542,2388,19175,1837,16989,8934,3787,2324
12/29/17,1000,40683,8020,12746,2437,19128,1881,16265,9091,3803,2254
12/29/17,1100,40156,7913,12906,2434,18723,1893,15496,9082,3753,2139
12/29/17,1200,39874,7744,12991,2417,18395,1878,14788,9034,3658,2005
12/29/17,1300,39287,7415,13023,2375,17881,1881,14028,8958,3705,1955
12/29/17,1400,37977,7259,12988,2357,17516,1867,13359,8928,3614,1884
12/29/17,1500,37776,7104,12999,2334,17365,1847,12983,8849,3603,1867
12/29/17,1600,38432,7069,12907,2331,17346,1817,13081,8767,3584,1901
12/29/17,1700,40134,7268,12917,2341,17680,1850,13955,8833,3640,1922
12/29/17,1800,42982,7755,13437,2431,18425,1941,15153,9300,3823,1934
12/29/17,1900,42882,7789,13862,2452,18704,1933,15357,9257,3878,2144
12/29/17,2000,42555,7761,13767,2425,18619,1916,15293,9074,3845,2073
12/29/17,2100,41865,7687,13572,2389,18491,1877,15254,8966,3777,2086
12/29/17,2200,40769,7553,13294,2319,18209,1819,15016,8727,3692,2065
12/29/17,2300,39088,7296,12917,2224,17635,1749,14623,8458,3540,2038
12/29/17,2400,37286,6955,12340,2111,16839,1666,14109,8033,3412,1995
12/28/17,100,35776,7299,12475,2273,18572,1677,14580,8277,3697,2480
12/28/17,200,35231,7204,12015,2243,18457,1655,14644,8074,3641,2485
12/28/17,300,35109,7213,11751,2249,18436,1628,14903,8016,3607,2479
12/28/17,400,35384,7280,11595,2230,18615,1619,15284,8007,3606,2522
12/28/17,500,36213,7516,11578,2262,18897,1647,15870,8139,3681,2533
12/28/17,600,37794,7676,11714,2342,19394,1704,16702,8439,3813,2609
12/28/17,700,40209,8013,12108,2455,20246,1788,17545,8940,3985,2731
12/28/17,800,41719,8236,12758,2558,20677,1855,17999,9365,4137,2739
12/28/17,900,42322,8222,13145,2589,20846,1892,17790,9470,4184,2756
12/28/17,1000,41625,8138,13379,2611,20683,1912,17177,9550,4217,2737
12/28/17,1100,40756,7984,13386,2632,20419,1911,16567,9526,4248,2568
12/28/17,1200,39895,7802,13529,2592,19891,1902,15993,9383,4155,2465
12/28/17,1300,39369,7622,13608,2538,19411,1904,15506,9276,4019,2302
12/28/17,1400,39132,7484,13445,2460,19048,1889,15135,9141,3920,2176
12/28/17,1500,39023,7403,13504,2406,18635,1877,14926,8995,3801,2106
12/28/17,1600,39620,7417,13432,2361,18318,1850,15062,8987,3730,2028
12/28/17,1700,41556,7622,13409,2371,18601,1874,15889,9038,3775,2047
12/28/17,1800,44628,8140,13992,2512,19453,1976,17317,9557,3990,2226
12/28/17,1900,44715,8271,14435,2559,19911,2002,17542,9684,4133,2359
12/28/17,2000,44411,8313,14245,2533,19991,1973,17590,9587,4108,2390
12/28/17,2100,43686,8277,14055,2489,19858,1953,17519,9403,4070,2439
12/28/17,2200,42977,8164,13782,2416,19459,1907,17205,9188,3946,2404
12/28/17,2300,40722,7865,13353,2304,18897,1818,16574,8774,3773,2353
12/28/17,2400,38835,7600,12638,2208,18204,1721,16055,8284,3601,2291
12/27/17,100,32068,6241,12171,2185,16443,1557,12066,7880,3431,1909
12/27/17,200,31130,6192,11767,2166,16299,1520,11804,7748,3410,1899
12/27/17,300,30780,6145,11473,2156,16334,1509,11719,7683,3411,1954
12/27/17,400,30928,6165,11415,2172,16497,1502,11790,7747,3457,1975
12/27/17,500,31584,6283,11408,2238,16813,1527,12147,7878,3559,2099
